Score,UpCourt,DownCourt,Start,End,Comment
1_00_01,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,20168,20353,0
1_00_02,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,20814,20968,0
1_01_02,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,21368,21467,0
1_01_03,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,22057,22125,0
1_02_03,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,22526,22615,0
1_02_04,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,23173,23304,0
1_03_04,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,23770,23868,0
1_03_05,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,24360,25313,0
1_04_05,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,26519,26908,0
1_04_06,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,27472,27585,0
1_05_06,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,28182,28297,0
1_05_07,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,29183,29287,0
1_06_07,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,29679,30732,0
1_07_07,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,32517,32830,0
1_08_07,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,33504,33583,0
1_08_08,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,34226,34369,0
1_08_09,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,34908,35115,0
1_09_09,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,35673,35798,0
1_10_09,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,36400,36898,0
1_10_10,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,37725,37961,0
1_10_11,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,38517,38744,0
1_11_11,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,41063,41131,0
1_12_11,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,41652,42002,0
1_12_12,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,42741,42858,0
1_12_13,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,43474,43710,0
1_13_13,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,44420,44879,0
1_14_13,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,45712,45870,0
1_15_13,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,46760,46830,0
1_16_13,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,47390,47503,0
1_17_13,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,48154,48276,0
1_18_13,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,48957,49052,0
1_19_13,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,49887,50100,0
1_20_13,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,52686,52837,0
1_21_13,Thom GICQUEL/Delphine DELRUE,ZHENG Si Wei/HUANG Ya Qiong,53644,53749,0
2_00_01,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,57854,58024,0
2_01_01,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,58789,59033,0
2_01_02,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,59589,59665,0
2_02_02,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,60030,60162,0
2_02_03,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,60711,61192,0
2_03_03,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,61865,62024,0
2_04_03,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,62822,63265,0
2_05_03,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,63933,64034,0
2_06_03,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,64633,64925,0
2_06_04,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,65566,65851,0
2_07_04,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,66344,66687,0
2_08_04,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,67484,67594,0
2_09_04,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,68178,68483,0
2_10_04,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,69377,69526,0
2_10_05,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,70017,70182,0
2_11_05,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,70857,70950,0
2_11_06,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,73025,73111,0
2_11_07,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,73508,73753,0
2_12_07,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,74059,74197,0
2_12_08,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,74658,74810,0
2_13_08,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,75397,75506,0
2_14_08,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,76235,76527,0
2_14_09,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,77914,78508,0
2_15_09,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,79217,79321,0
2_15_10,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,80577,80990,0
2_16_10,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,81753,81803,0
2_16_11,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,82333,82427,0
2_17_11,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,82835,83110,0
2_18_11,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,83764,83861,0
2_18_12,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,84536,84748,0
2_18_13,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,85307,85421,0
2_19_13,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,85939,86080,0
2_20_13,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,87404,87511,0
2_20_14,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,87962,88135,0
2_21_14,ZHENG Si Wei/HUANG Ya Qiong,Thom GICQUEL/Delphine DELRUE,88644,88842,0
